model,A_f1,B_f1,C_f1,gap_A_pct,gap_B_pct,h4_pass
logistic_regression,0.6666666666666666,0.625,0.7272727272727273,8.333333333333341,14.062500000000004,False
random_forest,0.7142857142857143,0.4285714285714285,0.9230769230769232,22.61904761904763,53.57142857142859,True
svm,0.4,0.4444444444444444,0.2222222222222222,-80.00000000000001,-100.0,False
xgboost,0.5,0.4285714285714285,1.0,50.0,57.14285714285715,True
