feature,mean_abs_shap,type
velocity_change_pct,3.679388,velocity/context
duration_days,0.0,velocity/context
weighted_velocity,0.0,velocity/context
issue_count,0.0,velocity/context
bugs,0.0,velocity/context
improvements,0.0,velocity/context
new_features,0.0,velocity/context
tasks,0.0,velocity/context
velocity_per_day,0.0,velocity/context
total_commits,0.0,churn
total_churn,0.0,churn
churn_concentration,0.0,churn
developer_churn_inequality,0.0,churn
refactoring_ratio,0.0,churn
file_hotspots,0.0,churn
avg_commit_size,0.0,churn
churn_volatility,0.0,churn
unique_developers,0.0,churn
avg_files_per_commit,0.0,churn
num_nodes,0.0,network_static
num_edges,0.0,network_static
density,0.0,network_static
avg_clustering,0.0,network_static
diameter,0.0,network_static
num_components,0.0,network_static
giant_component_size,0.0,network_static
avg_degree,0.0,network_static
max_betweenness,0.0,network_static
degree_centralization,0.0,network_static
avg_closeness,0.0,network_static
network_jaccard,0.0,network_change
nodes_added,0.0,network_change
nodes_removed,0.0,network_change
density_change,0.0,network_change
centralization_change,0.0,network_change
turnover_rate,0.0,network_change
commits_per_day,0.0,churn
churn_per_developer,0.0,churn
edges_per_node,0.0,network_change
num_issues,0.0,velocity/context
