model,split,f1,precision,recall,mcc,roc_auc,tn,fp,fn,tp
naive,val,0.0,0.0,0.0,0.0,,10,0,6,0
naive,test,0.0,0.0,0.0,0.0,,9,0,7,0
persistence,val,0.46153846153846156,0.42857142857142855,0.5,0.09759000729485331,,6,4,3,3
persistence,test,0.3076923076923077,0.3333333333333333,0.2857142857142857,-0.16265001215808886,,5,4,5,2
moving_avg,val,0.5714285714285714,0.5,0.6666666666666666,0.2581988897471611,,6,4,2,4
moving_avg,test,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.32277655457716287,,4,5,1,6
