model,A_f1,B_f1,C_f1,gap_A_pct,gap_B_pct,h4_pass
logistic_regression,0.6666666666666666,0.625,0.5454545454545454,-22.222222222222225,-14.583333333333343,False
random_forest,0.7142857142857143,0.4285714285714285,0.6,-19.047619047619055,28.57142857142858,False
svm,0.4,0.4444444444444444,0.4,0.0,-11.1111111111111,False
xgboost,0.5,0.4285714285714285,0.8333333333333334,40.0,48.571428571428584,True
