num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,release,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0,0,0.0,0.0,0.0
6,9,0.6,0.6777777777777777,2,1,1.0,3.0,0.5,0.2407407407407407,0.740410052910053,0.7.1,0.0,6,0,0.0,0.0,0.0
15,25,0.23809523809523808,0.5262962962962964,3,4,0.8,3.3333333333333335,0.25824175824175827,0.4826666666666666,0.0,0.7.2,0.3076923076923077,9,0,-0.3619047619047619,0.24192592592592588,0.6
33,49,0.0928030303030303,0.3774891774891775,3,12,0.6363636363636364,2.9696969696969697,0.15762768817204298,0.6233766233766234,0.0,0.7,0.37037037037037035,18,0,-0.14529220779220778,0.14070995670995678,0.5454545454545454
44,65,0.06871035940803383,0.3332821590174531,3,18,0.5909090909090909,2.9545454545454546,0.10878552971576227,0.6765734265734267,0.0,0.8.0,0.6764705882352942,12,1,-0.024092670894996476,0.05319680319680331,0.2727272727272727
53,68,0.04934687953555878,0.17472873038910774,6,20,0.6226415094339622,2.5660377358490565,0.09437441643323996,0.6600998890122087,0.0,0.8.1.1,0.09917355371900827,40,31,-0.019363479872475046,-0.016473537561217944,0.7547169811320755
107,139,0.024510668312466937,0.2202475384052885,6,46,0.5607476635514018,2.5981308411214954,0.07149133053894957,0.7262152894506826,0.0,0.8.1,0.39864864864864863,54,0,-0.024836211223091844,0.06611540043847386,0.5046728971962616
105,224,0.041025641025641026,0.2938118166492299,5,32,0.6952380952380952,4.266666666666667,0.08876057782938378,0.6750850340136054,0.0,0.8.2.1,0.38022813688212925,25,27,0.01651497271317409,-0.051130255437077166,0.23809523809523808
154,366,0.03106697224344283,0.2995583891272842,6,49,0.6883116883116883,4.753246753246753,0.16594928360947692,0.7096196153573202,0.0,0.8.2.2,0.1752988047808765,101,52,-0.009958668782198195,0.03453458134371479,0.6558441558441559
291,625,0.01481218153809693,0.28321687005692764,6,100,0.6563573883161512,4.29553264604811,0.12248616538769769,0.7483106529209622,0.0,0.8.2.0,0.44040697674418605,137,0,-0.016254790705345898,0.038691037563642006,0.47079037800687284
277,609,0.015931564903468844,0.2818171389569457,6,93,0.6642599277978339,4.397111913357401,0.16112206851460512,0.7451820763161483,0.0,0.9.0.0,0.940251572327044,0,14,0.0011193833653719131,-0.003128576604813915,0.0
90,145,0.03620474406991261,0.3057866067866068,5,25,0.7333333333333333,3.2222222222222223,0.29332327881370146,0.6558620689655172,0.0,0.10.1.1,0.12369597615499255,6,193,0.020273179166443764,-0.08932000735063106,0.06666666666666667
89,258,0.0658835546475996,0.4227669396551263,5,16,0.8314606741573034,5.797752808988764,0.1796011458801343,0.6235955056179776,0.0,0.10.2.1,0.06613756613756613,56,57,0.02967881057768699,-0.032266563347539634,0.6292134831460674
303,711,0.01553996459248574,0.340098092749297,5,87,0.7161716171617162,4.693069306930693,0.14722601252863776,0.7345253512693042,0.0,0.9.0.1,0.2423076923076923,214,0,-0.05034359005511386,0.11092984565132658,0.7062706270627063
315,773,0.015630371044383782,0.341197354463356,5,92,0.7111111111111111,4.907936507936508,0.15425641317879207,0.7373252017495227,0.0,0.10.0.0,0.8141809290953546,12,0,9.040645189804276e-05,0.0027998504802184687,0.0380952380952381
108,195,0.03374870197300104,0.28323219393368476,6,38,0.6574074074074074,3.611111111111111,0.14563323749287152,0.6958214624881291,0.0,0.11.0.2,0.1388235294117647,27,234,0.018118330928617258,-0.0415037392613935,0.25
288,644,0.015582655826558265,0.3250131515738779,5,89,0.6944444444444444,4.472222222222222,0.1283038674954113,0.7374212819185644,0.0,0.10.0.1,0.20545977011494254,180,0,-0.018166046146442773,0.041599819430435225,0.625
267,587,0.016530089268114105,0.31732687122798625,5,88,0.6741573033707865,4.397003745318352,0.11239223121545368,0.7476408322646095,0.0,0.10.2.0,0.6545698924731183,23,44,0.0009474334415558398,0.010219550346045159,0.08614232209737828
230,542,0.020580975887602052,0.33123434251540246,5,77,0.6695652173913044,4.71304347826087,0.1186838282597565,0.725701909193005,0.0,0.10.2.2,0.46433203631647213,38,75,0.004050886619487947,-0.0219389230716045,0.16521739130434782
152,241,0.021000348553502964,0.283033131321994,6,58,0.625,3.1710526315789473,0.16375690747930796,0.6978870932518018,0.0,0.11.0.3,0.36649214659685864,0,78,0.000419372665900912,-0.027814815941203275,0.0
151,240,0.02119205298013245,0.2881665596663649,6,58,0.6225165562913907,3.1788079470198674,0.1586261684650095,0.7040011037527594,0.0,1.0.2,0.7490909090909091,2,3,0.00019170442662948609,0.006114010500957612,0.013245033112582781
298,718,0.016224888708110185,0.3193083608619993,5,95,0.6812080536912751,4.818791946308725,0.1214374319619076,0.7382129704062366,0.0,0.10.1.2,0.2588699080157687,147,0,-0.004967164272022265,0.034211866653477196,0.49328859060402686
407,951,0.011510390820735648,0.310679140136438,6,129,0.683046683046683,4.673218673218673,0.1341490469194263,0.7489284523984838,0.0,0.9.0.2,0.5910390848427073,109,0,-0.0047144978873745365,0.010715481992247256,0.2678132678132678
86,132,0.036114911080711354,0.23001150068895268,6,25,0.7093023255813954,3.0697674418604652,0.2226320807634385,0.6129316420014095,0.0,0.11.0.4,0.05555555555555555,19,340,0.024604520259975705,-0.13599681039707434,0.22093023255813954
369,869,0.012798986685519029,0.3201715536706828,6,112,0.6991869918699187,4.710027100271002,0.1297834283312157,0.7430183277667071,0.0,0.10.0.2,0.11098779134295228,283,0,-0.023315924395192325,0.13008668576529758,0.7669376693766937
319,723,0.014254450819187319,0.2958926878373129,6,114,0.64576802507837,4.532915360501567,0.10570690984649535,0.7483361299357867,0.0,0.11.0.1,0.5531707317073171,35,85,0.00145546413366829,0.005317802169079622,0.109717868338558
72,103,0.04029733959311424,0.2561286253688214,6,25,0.6666666666666666,2.861111111111111,0.15510028424515346,0.632955771305286,0.0,2.2.1,0.03768844221105527,19,266,0.026042888773926923,-0.11538035863050067,0.2638888888888889
577,1372,0.00825630656653187,0.2908014802100173,6,204,0.6464471403812825,4.755632582322357,0.08925396718045712,0.7749215556487512,0.0,0.8.1.2,0.043878273177636234,505,0,-0.03204103302658237,0.14196578434346518,0.8752166377816292
155,255,0.0213657310431504,0.24551471552190776,5,64,0.5935483870967742,3.2903225806451615,0.097022436818902,0.7291081593927895,0.0,0.10.2.3,0.11133879781420765,15,437,0.013109424476618529,-0.0458133962559617,0.0967741935483871
79,130,0.04219409282700422,0.3273545309658489,7,22,0.6835443037974683,3.2911392405063293,0.15744330567301712,0.6112950340798442,0.0,2.4.1,0.0547945205479452,39,115,0.02082836178385382,-0.1178131253129453,0.4936708860759494
140,276,0.028365878725590956,0.29797365641828294,7,47,0.6571428571428571,3.942857142857143,0.10307843970329303,0.6935041407867495,0.0,2.3.1,0.3054662379421222,61,0,-0.013828214101413262,0.08220910670690529,0.4357142857142857
195,415,0.021940259053661114,0.3128469518277274,7,70,0.6410256410256411,4.256410256410256,0.06669154204080341,0.7188507877664505,0.0,2.2.3,0.30377358490566037,83,28,-0.006425619671929842,0.025346646979701015,0.4256410256410256
167,294,0.02121059086645985,0.2565109211304571,6,63,0.6287425149700598,3.5209580838323356,0.09605436888692982,0.7180129536844679,0.0,2.5.1,0.3530534351145038,19,47,-0.0007296681872012642,-0.0008378340819825691,0.11377245508982035
