release,start_date,end_date,duration_days,weighted_velocity,velocity_change_pct,is_degraded,issue_count,bugs,improvements,new_features,tasks,velocity_per_day,prev_weighted_velocity,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit,num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate,commits_per_day,churn_per_developer,edges_per_node,num_issues,earliest_issue_created,velocity_change
2.3.1,2019-06-13 07:04:57+00:00,2020-03-11 20:57:18+00:00,272.5780208333333,58.95,24.105263157894743,0,50,47,2,1,0,0.21626835435878644,47.5,880,252426,0.7734224629648436,0.6755995538204127,0.3375,88,286.8477272727273,1932.6168651257344,163.0,6.721590909090909,140,276,0.028365878725590956,0.29797365641828294,7,47,0.6571428571428571,3.942857142857143,0.10307843970329303,0.6935041407867495,0.0,0.3054662379421222,61,0,-0.013828214101413262,0.08220910670690529,0.4357142857142857,3.2284334492914684,1548.6257668711658,1.9714285714285715,50,2017-09-25 19:28:07+00:00,11.450000000000003
2.2.3,2019-09-11 21:24:54+00:00,2020-10-06 01:20:20+00:00,390.16349537037036,39.25,-33.41815097540289,1,36,32,2,0,0,0.10059885270081756,58.95,1452,399006,0.7830499873452748,0.7307036166502388,0.3106060606060606,145,274.797520661157,2024.671812760379,218.0,6.373278236914601,195,415,0.021940259053661114,0.3128469518277274,7,70,0.6410256410256411,4.256410256410256,0.06669154204080341,0.7188507877664505,0.0,0.30377358490566037,83,28,-0.006425619671929842,0.025346646979701015,0.4256410256410256,3.7215167929066775,1830.302752293578,2.128205128205128,36,2014-10-18 13:44:09+00:00,-19.700000000000003
2.5.1,2020-02-18 18:13:40+00:00,2020-11-05 12:12:30+00:00,260.7491898148148,76.45,94.77707006369428,0,72,60,9,0,1,0.29319362431881424,39.25,1048,265080,0.788072418293426,0.6956832890806506,0.3187022900763359,105,252.93893129770993,1757.8550358230516,184.0,6.134541984732825,167,294,0.02121059086645985,0.2565109211304571,6,63,0.6287425149700598,3.5209580838323356,0.09605436888692982,0.7180129536844679,0.0,0.3530534351145038,19,47,-0.0007296681872012642,-0.0008378340819825691,0.11377245508982035,4.019187943572496,1440.6521739130435,1.7604790419161678,72,2018-03-13 17:10:33+00:00,37.2
2.6.1,2020-07-15 21:24:02+00:00,2021-03-09 18:35:28+00:00,236.88293981481482,50.0,-34.59777632439503,1,41,37,3,0,0,0.21107471918023268,76.45,912,271355,0.7941211333182692,0.6807607468964809,0.3706140350877193,92,297.53837719298247,2014.5982555997134,171.0,7.891447368421052,154,302,0.025634496222731517,0.22516650158565077,6,72,0.538961038961039,3.9220779220779223,0.07576344713448711,0.7559774662423668,0.0,0.2163265306122449,48,61,0.004423905356271667,0.0379645125578989,0.3116883116883117,3.8500028778474444,1586.8713450292398,1.9610389610389611,41,2019-03-03 05:55:07+00:00,-26.450000000000003
2.3.0,2019-02-02 20:39:40+00:00,2021-06-01 18:33:33+00:00,849.9124189814814,213.10000000000002,326.20000000000005,0,172,95,51,7,4,0.2507317168695746,50.0,3222,872762,0.7790370717610673,0.7794188491019913,0.35567970204841715,323,270.8758535071384,1787.003067829086,393.0,6.803538175046555,343,791,0.01348609619286311,0.2889866568419826,6,135,0.60932944606414,4.612244897959184,0.04869147307289973,0.7726868966839038,0.0,0.23922902494331066,189,0,-0.012148400029868407,0.016709430441536943,0.5510204081632653,3.7909788444569177,2220.7684478371502,2.306122448979592,172,2016-01-24 20:19:09+00:00,163.10000000000002
2.6.3,2020-11-23 09:07:51+00:00,2021-08-27 20:23:23+00:00,277.4691203703704,11.75,-94.48615673392773,1,12,9,1,0,1,0.04234705463554252,213.10000000000002,1169,334808,0.7740669376198943,0.7091152234410023,0.38751069289991447,117,286.4054747647562,1898.0442035925794,158.0,7.757912745936698,140,350,0.03597122302158273,0.2797308495235192,6,50,0.65,5.0,0.06054950737662088,0.6985510204081633,0.0,0.16905737704918034,22,225,0.022485126828719622,-0.07413587627574048,0.15714285714285714,4.213081435655252,2119.0379746835442,2.5,12,2020-11-02 22:27:55+00:00,-201.35000000000002
2.7.2,2020-11-23 09:07:51+00:00,2021-09-08 08:47:03+00:00,288.98555555555555,30.75,161.70212765957444,0,27,22,2,0,2,0.10640670237266761,11.75,1195,339658,0.7733782918387684,0.7110266353709562,0.3882845188284519,120,284.2326359832636,1871.3334997919178,164.0,7.743096234309624,146,351,0.033160132262635804,0.26806490156472174,6,55,0.6301369863013698,4.808219178082192,0.06276492160928993,0.7099090660734495,0.0,0.9971509971509972,6,0,-0.0028110907589469283,0.011358045665286198,0.0410958904109589,4.1351547751329365,2071.0853658536585,2.404109589041096,27,2019-06-19 01:35:13+00:00,19.0
2.8.1,2021-02-26 01:03:10+00:00,2021-09-08 09:18:09+00:00,194.34373842592592,64.25,108.9430894308943,0,49,40,4,1,3,0.3305997945721769,30.75,770,206017,0.7648169937306271,0.6562211981566821,0.36623376623376624,77,267.55454545454546,1717.7322166694414,124.0,6.890909090909091,111,217,0.03554463554463554,0.25198800539357813,7,40,0.6486486486486487,3.90990990990991,0.0784373856093498,0.6619753393946943,0.0,0.3819951338199513,0,35,0.002384503281999739,-0.04793372667875517,0.0,3.962052012771615,1661.4274193548388,1.954954954954955,49,2019-06-19 01:35:13+00:00,33.5
2.0.1,2018-07-25 05:00:29+00:00,2022-02-13 09:47:04+00:00,1299.1990162037036,57.0,-11.284046692607005,1,53,43,8,0,1,0.04387318593155621,64.25,4451,1185296,0.776856287914838,0.7943898704883396,0.3491350258368906,445,266.2988092563469,1685.131398299773,539.0,6.820040440350483,471,1033,0.009332791254460857,0.2585731189527062,6,199,0.5796178343949044,4.386411889596603,0.08257800228003719,0.7922424122842173,0.0,0.15207373271889402,360,0,-0.026211844290174688,0.130267072889523,0.7643312101910829,3.4259570277430997,2199.064935064935,2.1932059447983017,53,2017-03-25 15:08:14+00:00,-7.25
1.1.1,2018-03-15 21:44:45+00:00,2022-02-13 09:49:01+00:00,1430.502962962963,55.45,-2.71929824561403,0,47,40,4,0,3,0.03876259010687254,57.0,4933,1333871,0.7804228237888271,0.7990170180242537,0.35110480437867425,494,270.39752685992295,1734.2200880937103,579.0,6.89864180012163,508,1157,0.00898445386634363,0.2677229085957454,6,212,0.5846456692913385,4.55511811023622,0.08127533487572387,0.7911684440482105,0.0,0.7450199203187251,37,0,-0.0003483373881172265,-0.001073968236006806,0.07283464566929133,3.4484374571181644,2303.7495682210706,2.27755905511811,47,2017-09-13 06:16:04+00:00,-1.5499999999999972
2.1.0,2018-06-07 04:09:50+00:00,2022-03-14 22:51:42+00:00,1376.779074074074,211.7,281.785392245266,0,192,105,69,1,8,0.1537646845354435,55.45,4708,1247845,0.7782503494818611,0.7968555107648367,0.35067969413763805,471,265.04779099405266,1715.9039172203056,564.0,6.796304163126593,494,1098,0.009016925212078409,0.260971231735465,6,206,0.5850202429149798,4.445344129554656,0.08377786585830346,0.7904821427254558,0.0,0.7741935483870968,11,25,3.247134573477854e-05,-0.0006863013227547121,0.022267206477732792,3.419575506815626,2212.491134751773,2.222672064777328,192,2014-04-24 18:50:15+00:00,156.25
1.0.0,2017-06-07 18:47:04+00:00,2022-03-14 22:51:42+00:00,1741.1698842592593,306.45,44.756731223429384,0,289,144,67,8,3,0.17600235495135047,211.7,6081,1615667,0.7795473329830205,0.8058451229459893,0.3507646768623582,607,265.6910047689525,1688.253985676582,706.0,6.804801841802335,622,1414,0.007321455385204861,0.26999750639853953,6,260,0.5836012861736335,4.546623794212219,0.08648220435353766,0.7965157792765956,0.0,0.6354166666666666,128,0,-0.0016954698268735477,0.006033636551139754,0.2057877813504823,3.4924794271795148,2288.4801699716713,2.2733118971061095,289,2014-08-14 01:43:31+00:00,94.75
